,id,seccion,agrupacion_ganadora,COMPROMISO FEDERAL_perc,FRENTE AMPLIO PROGRESISTA_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,FRENTE POPULAR_perc,PROYECTO SUR_perc,UNION PARA EL DESARROLLO SOCIAL_perc,COALICION CIVICA-ARI_perc,DEL CAMPO POPULAR_perc,MOVIMIENTO DE ACCION VECINAL_perc,COMPROMISO FEDERAL_votos,FRENTE AMPLIO PROGRESISTA_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,FRENTE POPULAR_votos,PROYECTO SUR_votos,UNION PARA EL DESARROLLO SOCIAL_votos,COALICION CIVICA-ARI_votos,DEL CAMPO POPULAR_votos,MOVIMIENTO DE ACCION VECINAL_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
320,LA PAMPA_TRENEL,"Trenel, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,12.2,7.93,0.91,49.12,11.76,0.12,15.97,1.43,0.18,0.38,417,271,31,1679,402,4,546,49,6,13,80.79,4372,3532,1.93,0.0,1.3,68.0,0.0,46.0,LA PAMPA
321,LA PAMPA_UTRACAN,"Utracan, La Pampa",ALIANZA FRENTE PARA LA VICTORIA,11.22,4.44,1.53,45.9,10.85,0.29,22.07,2.97,0.22,0.5,990,392,135,4049,957,26,1947,262,19,44,76.99,12065,9289,3.28,0.25,1.51,305.0,23.0,140.0,LA PAMPA
462,SANTA FE_BELGRANO,"Belgrano, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,8.33,24.75,1.03,32.26,20.77,0.37,8.98,3.39,0.14,0.0,2210,6568,273,8563,5513,97,2383,899,36,0,78.28,34994,27395,2.58,0.0,0.53,707.0,1.0,145.0,SANTA FE
463,SANTA FE_CASEROS,"Caseros, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,8.51,26.51,1.46,27.5,23.16,0.86,7.74,4.03,0.23,0.0,4330,13497,744,13999,11788,438,3941,2053,116,0,78.22,67183,52550,2.08,0.05,1.0,1093.0,28.0,523.0,SANTA FE
464,SANTA FE_CASTELLANOS,"Castellanos, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,5.72,32.23,1.1,35.65,13.89,0.41,7.2,3.57,0.22,0.01,5477,30841,1050,34119,13295,389,6889,3416,206,14,76.86,129009,99162,1.79,0.16,1.54,1779.0,159.0,1528.0,SANTA FE
465,SANTA FE_CONSTITUCION,"Constitucion, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,6.81,29.12,1.2,39.27,12.06,0.55,7.87,2.97,0.13,0.02,3606,15410,635,20779,6381,292,4166,1571,69,10,79.06,69561,54995,1.54,1.08,1.15,846.0,596.0,634.0,SANTA FE
466,SANTA FE_GARAY,"Garay, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,2.17,27.51,0.68,51.69,7.77,0.23,7.64,1.8,0.28,0.24,244,3096,76,5818,875,26,860,203,31,27,73.77,15682,11569,1.59,0.0,1.12,184.0,0.0,129.0,SANTA FE
467,SANTA FE_GENERAL LOPEZ,"General Lopez, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,12.88,24.59,0.89,33.63,15.62,0.41,8.73,3.07,0.15,0.03,14127,26965,981,36882,17128,445,9572,3370,167,35,75.0,150259,112694,1.48,0.26,0.94,1671.0,291.0,1060.0,SANTA FE
468,SANTA FE_GENERAL OBLIGADO,"General Obligado, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,2.28,20.08,0.43,45.0,13.26,0.3,15.95,2.31,0.21,0.17,2061,18182,391,40748,12008,273,14441,2096,193,150,73.67,126957,93530,1.73,0.03,1.44,1617.0,26.0,1344.0,SANTA FE
469,SANTA FE_IRIONDO,"Iriondo, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,5.93,29.8,1.3,38.18,13.89,0.63,6.67,3.37,0.22,0.02,2326,11693,512,14980,5450,246,2616,1321,86,6,76.84,52753,40538,2.48,0.01,0.72,1005.0,6.0,291.0,SANTA FE
470,SANTA FE_LA CAPITAL,"La Capital, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,3.57,35.55,1.41,38.11,9.85,0.81,5.93,4.17,0.26,0.33,7107,70769,2812,75862,19616,1611,11799,8301,527,663,71.85,288213,207080,1.31,0.74,1.81,2720.0,1537.0,3756.0,SANTA FE
471,SANTA FE_LA CAPITAL CAMP.,"La Capital Camp., Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,3.91,35.18,1.21,39.22,10.78,0.45,5.31,3.35,0.25,0.35,2834,25508,877,28432,7814,325,3847,2429,178,256,74.33,100797,74923,1.33,0.11,1.8,993.0,80.0,1350.0,SANTA FE
472,SANTA FE_LAS COLONIAS,"Las Colonias, Santa Fe",ALIANZA FRENTE AMPLIO PROGRESISTA,5.23,35.95,0.88,28.85,16.44,0.38,8.13,3.7,0.22,0.21,3104,21321,524,17111,9753,223,4823,2192,129,127,79.72,77516,61794,2.4,0.32,1.3,1486.0,195.0,806.0,SANTA FE
473,SANTA FE_9 DE JULIO,"Nueve De Julio, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,2.79,20.33,0.33,50.41,13.53,0.33,8.8,2.94,0.36,0.18,413,3008,49,7460,2002,49,1302,435,54,26,68.41,22209,15193,1.36,0.06,1.18,206.0,9.0,180.0,SANTA FE
474,SANTA FE_ROSARIO,"Rosario, Santa Fe",ALIANZA FRENTE AMPLIO PROGRESISTA,4.31,47.59,2.43,20.76,12.72,1.63,5.24,5.14,0.16,0.04,6470,71493,3651,31184,19106,2444,7867,7721,244,55,73.8,209315,154469,1.2,0.38,1.16,1858.0,583.0,1793.0,SANTA FE
475,SANTA FE_ROSARIO BARR.,"Rosario Barr., Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,5.61,37.24,1.74,40.59,7.47,0.97,3.07,2.96,0.24,0.11,20525,136198,6365,148450,27301,3551,11231,10822,868,390,73.17,520925,381139,1.53,0.53,1.99,5816.0,2039.0,7583.0,SANTA FE
476,SANTA FE_ROSARIO CAMP.,"Rosario Camp., Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,6.0,30.17,1.22,46.18,8.95,0.65,4.02,2.47,0.22,0.13,8642,43483,1755,66573,12901,941,5790,3566,310,189,76.83,194061,149092,1.65,0.32,1.34,2465.0,472.0,2005.0,SANTA FE
477,SANTA FE_SAN CRISTOBAL,"San Cristobal, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,3.62,20.84,0.75,43.01,13.2,0.26,15.37,2.31,0.3,0.33,1357,7811,281,16121,4947,99,5761,867,112,122,73.48,52458,38547,1.44,0.42,0.91,557.0,162.0,350.0,SANTA FE
478,SANTA FE_SAN JAVIER,"San Javier, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,2.06,21.12,0.48,51.21,10.57,0.27,11.6,2.41,0.18,0.09,334,3419,78,8289,1711,43,1878,390,29,15,73.46,22679,16660,1.63,0.01,1.2,272.0,2.0,200.0,SANTA FE
479,SANTA FE_SAN JERONIMO,"San Jeronimo, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,4.4,31.86,0.85,41.5,11.25,0.31,6.77,2.67,0.17,0.22,2030,14700,393,19151,5192,141,3123,1231,79,102,77.25,61760,47709,1.86,0.23,1.19,889.0,112.0,566.0,SANTA FE
480,SANTA FE_SAN JUSTO,"San Justo, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,3.71,28.43,0.79,35.77,16.35,0.33,10.8,3.44,0.17,0.22,870,6672,185,8395,3836,77,2534,808,40,51,75.16,32297,24276,2.17,0.07,1.09,527.0,17.0,264.0,SANTA FE
481,SANTA FE_SAN LORENZO,"San Lorenzo, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,5.88,32.45,1.78,41.45,9.57,0.62,5.12,2.95,0.18,0.0,5523,30458,1668,38903,8978,579,4801,2769,173,1,78.46,123326,96757,1.59,0.08,1.34,1537.0,73.0,1294.0,SANTA FE
482,SANTA FE_SAN MARTIN,"San Martin, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,7.11,29.08,1.19,33.24,16.02,0.43,8.65,3.62,0.23,0.42,2680,10960,447,12526,6036,162,3261,1366,87,160,78.29,49727,38931,1.91,0.03,1.26,742.0,12.0,492.0,SANTA FE
483,SANTA FE_VERA,"Vera, Santa Fe",ALIANZA FRENTE PARA LA VICTORIA,2.26,21.57,0.53,50.63,12.34,0.18,9.89,2.22,0.16,0.23,572,5470,134,12841,3129,45,2509,564,41,59,67.49,38603,26053,1.55,0.05,1.04,405.0,13.0,271.0,SANTA FE
