,id,seccion,agrupacion_ganadora,CAMBIEMOS_perc,COMPROMISO FEDERAL_perc,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_perc,FRENTE PARA LA VICTORIA_perc,PROGRESISTAS_perc,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_perc,CAMBIEMOS_votos,COMPROMISO FEDERAL_votos,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES_votos,FRENTE PARA LA VICTORIA_votos,PROGRESISTAS_votos,UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos,distrito
506,SANTIAGO DEL ESTERO_GENERAL TABOADA,"Taboada, Santiago Del Estero",ALIANZA FRENTE PARA LA VICTORIA,14.46,0.56,1.02,70.78,0.75,12.43,3603,140,254,17633,188,3096,81.4,31184,25384,1.49,0.01,0.35,379,3,88,SANTIAGO DEL ESTERO
510,TUCUMAN_JUAN BAUTISTA ALBERDI,"Alberdi, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,23.32,0.78,0.75,54.92,0.89,19.34,4301,144,139,10128,165,3566,81.99,23057,18904,1.84,0.04,0.57,347,7,107,TUCUMAN
511,TUCUMAN_BURRUYACU,"Burruyacu, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,14.92,0.8,0.45,69.54,0.88,13.4,3754,202,113,17492,222,3370,80.52,31997,25763,2.07,0.01,0.28,534,3,73,TUCUMAN
512,TUCUMAN_CAPITAL,"Capital, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,34.77,1.03,2.52,36.49,1.87,23.32,117834,3475,8555,123684,6353,79041,80.65,433901,349931,2.18,0.11,0.86,7611,382,2996,TUCUMAN
513,TUCUMAN_CHICLIGASTA,"Chicligasta, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,24.51,0.86,0.93,55.25,1.12,17.33,12588,442,477,28383,575,8903,84.0,62771,52728,1.85,0.09,0.63,977,50,333,TUCUMAN
514,TUCUMAN_CRUZ ALTA,"Cruz Alta, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,19.07,0.79,1.6,57.34,0.97,20.22,22376,932,1878,67278,1136,23722,83.55,144829,121010,2.37,0.1,0.58,2865,122,701,TUCUMAN
515,TUCUMAN_FAMAILLA,"Famailla, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,17.9,0.99,1.35,57.2,0.97,21.59,3814,210,287,12188,206,4601,81.07,27384,22200,3.18,0.11,0.73,707,24,163,TUCUMAN
516,TUCUMAN_GRANEROS,"Graneros, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,12.24,1.14,0.4,74.43,0.61,11.18,1017,95,33,6186,51,929,81.76,10388,8493,1.88,0.02,0.24,160,2,20,TUCUMAN
517,TUCUMAN_LA COCHA,"La Cocha, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,19.45,0.69,0.46,62.98,0.77,15.66,2392,85,56,7746,95,1926,84.2,14884,12533,1.25,0.05,0.56,157,6,70,TUCUMAN
518,TUCUMAN_LEALES,"Leales, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,15.32,0.75,0.88,64.82,0.68,17.55,5574,274,322,23585,247,6385,84.23,44274,37291,1.82,0.03,0.58,678,10,216,TUCUMAN
519,TUCUMAN_LULES,"Lules, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,25.42,1.01,1.52,50.91,1.13,20.01,9944,395,594,19915,442,7828,83.91,48023,40296,2.09,0.04,0.79,843,15,320,TUCUMAN
520,TUCUMAN_MONTEROS,"Monteros, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,16.55,0.74,1.31,62.81,1.0,17.59,6759,301,537,25657,409,7184,84.12,49668,41781,1.85,0.05,0.34,771,20,143,TUCUMAN
521,TUCUMAN_RIO CHICO,"Rio Chico, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,17.52,0.6,0.89,63.06,0.8,17.12,6590,227,333,23718,302,6440,84.51,45593,38532,1.67,0.11,0.62,642,42,238,TUCUMAN
522,TUCUMAN_SIMOCA,"Simoca, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,15.49,0.61,0.54,69.45,0.7,13.22,3274,128,115,14682,147,2795,81.78,26306,21512,1.31,0.08,0.33,282,17,72,TUCUMAN
523,TUCUMAN_TAFI DEL VALLE,"Tafi Del Valle, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,14.52,1.22,1.04,61.49,0.95,20.78,1427,120,102,6042,93,2042,81.95,12432,10188,2.56,0.03,0.96,261,3,98,TUCUMAN
524,TUCUMAN_TAFI VIEJO,"Tafi Viejo, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,25.63,1.15,2.19,44.74,1.53,24.75,20498,922,1752,35781,1222,19797,83.3,99370,82779,2.31,0.14,0.94,1916,115,776,TUCUMAN
525,TUCUMAN_TRANCAS,"Trancas, Tucuman",ALIANZA FRENTE PARA LA VICTORIA,19.96,1.05,0.69,56.3,1.57,20.42,2139,113,74,6032,168,2188,81.38,13583,11054,1.76,0.19,1.13,194,21,125,TUCUMAN
526,TUCUMAN_YERBA BUENA,"Yerba Buena, Tucuman",ALIANZA CAMBIEMOS,43.14,0.92,2.08,35.97,1.8,16.09,23452,502,1130,19558,979,8746,84.94,65735,55833,1.79,0.1,0.74,998,54,414,TUCUMAN
